"","Otu0001","Otu0003","Otu0005","Otu0006","Otu0009","Otu0010","Otu0012","Otu0015","Otu0016","Otu0017","Otu0018","Otu0020","Otu0021","Otu0022","Otu0023","Otu0025","Otu0026","Otu0027","Otu0028","Otu0029","Otu0030","Otu0031","Otu0032","Otu0033","Otu0034","Otu0035","Otu0036","Otu0037","Otu0038","Otu0039","Otu0040","Otu0041","Otu0042","Otu0043","Otu0044","Otu0046","Otu0047","Otu0050","Otu0051","Otu0052","Otu0054","Otu0057","Otu0061","Otu0062","Otu0066","Otu0068","Otu0069","Otu0070","Otu0072","Otu0073","Otu0075","Otu0077","Otu0078","Otu0085","Otu0088","Otu0089","Otu0091","Otu0099","Otu0103","Otu0104","Otu0105","Otu0106","Otu0108","Otu0118","Otu0119","Otu0122","Otu0128","Otu0132","Otu0139","Otu0141","Otu0142","Otu0143","Otu0153","Otu0156","Otu0163","Otu0171","Otu0182","Otu0199","Otu0212","Otu0215","Otu0233"
"MIC_003_HMP",58,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIC_009_HMP",486,13,51,16,19,35,9,3,5,7,0,11,2,2,5,21,78,0,3,0,3,23,0,1,0,5,60,5,5,0,3,0,0,1,0,0,0,0,60,0,0,0,10,0,0,2,2,0,0,0,12,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIC_010_HMP",660,87,101,48,0,183,0,29,0,1,0,0,9,1,1,15,17,0,0,0,51,78,0,2,0,1,45,2,0,0,21,0,0,5,0,22,14,0,16,0,0,0,9,6,0,8,0,0,0,0,14,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIC_011_HMP",101,45,6,1,0,37,0,1,0,1,0,0,0,0,0,1,1,0,1,0,3,12,0,0,0,0,0,0,1,0,5,0,0,3,0,1,0,0,2,0,0,0,8,0,0,0,0,0,0,0,10,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIC_012_HMP",524,4,240,21,356,4,173,10,15,2,0,7,13,5,26,0,0,0,0,0,1,0,0,90,0,28,0,0,66,0,0,0,0,1,0,1,16,0,0,0,0,0,1,8,0,3,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIC_013_HMP",786,45,13,21,2,40,9,1,1,0,0,2,0,2,1,178,162,0,1,0,119,122,0,19,0,1,15,1,1,0,63,0,0,0,0,30,0,0,39,0,0,0,20,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIC_017_HMP",131,2,7,1,1,1,0,0,0,0,0,0,2,1,0,7,4,0,0,0,4,15,0,0,0,1,6,0,0,0,0,0,0,2,0,1,0,0,5,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIC_019_HMP",775,2,4,0,1,1,2,0,2,0,0,1,0,5,1,14,15,0,0,0,2,0,0,2,0,1,39,0,0,0,2,0,0,1,0,0,0,0,65,0,0,0,14,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIC_022_HMP",203,4,3,1,0,0,1,0,5,0,0,11,0,0,1,3,1,0,0,0,1,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIC_026_HMP",210,1,260,67,16,1,8,28,26,55,0,1,13,13,3,2,11,0,155,0,2,6,0,2,0,2,3,26,39,0,1,0,0,11,0,0,6,0,6,0,0,0,0,8,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIC_033_HMP",1104,1,21,0,1,1,2,5,2,0,0,1,2,3,2,14,32,0,3,0,0,47,0,1,0,1,1,1,1,0,0,0,0,0,0,217,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIC_034_HMP",93,1497,21,0,1,146,17,2,1,10,0,0,0,5,0,6,18,0,2,0,7,3,0,2,0,0,4,2,19,0,8,0,0,1,0,3,1,0,1,0,0,0,1,3,0,0,0,0,0,0,14,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIC_047_HMP",1145,297,4,2,1,13,2,6,5,5,0,2,3,2,1,60,21,0,1,0,0,147,0,0,0,0,175,0,4,0,2,0,0,1,0,6,0,0,43,0,0,0,8,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIC_050_HMP",563,7,191,229,85,7,26,16,53,50,0,54,27,28,39,1,3,0,4,0,0,52,0,6,0,7,10,12,12,0,0,0,0,6,0,0,7,0,3,0,0,0,0,5,0,8,10,0,0,0,6,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIC_052_HMP",1792,14,233,600,37,8,41,24,147,68,0,59,162,62,129,0,0,0,63,0,6,17,0,0,0,121,5,11,57,0,0,0,0,9,0,1,22,0,0,0,0,0,1,72,0,3,34,0,0,0,0,0,0,0,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIC_055_HMP",231,33,23,5,38,27,14,8,3,0,0,0,14,2,1,0,4,0,0,0,11,103,0,4,0,0,31,6,10,0,0,0,0,8,0,3,6,0,2,0,0,0,8,1,0,0,9,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIC_056_HMP",7,7,8,10,1,3,2,0,2,2,0,0,2,2,0,0,0,0,2,0,1,1,0,1,0,0,1,3,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIC_059_HMP",12,32,5,4,1,23,2,0,0,3,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIC_062_HMP",132,136,33,35,162,7,1,0,46,17,0,0,27,20,5,0,0,0,1,0,0,0,0,14,0,0,0,7,4,0,1,0,0,5,0,0,5,0,0,0,0,0,0,10,0,3,13,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
